T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655212979999,22433.03000000,,22390.253305982886,False,False
1655213039999,22441.27000000,,22424.281630769212,False,False
1655213099999,22442.10000000,,22450.978295206227,False,False
1655213159999,22386.87000000,,22470.77812527954,False,False
1655213219999,22441.52000000,,22484.115946974754,False,False
1655213279999,22518.11000000,,22491.42658627748,False,False
1655213339999,22534.00000000,22456.7,22493.14486917333,False,False
1655213399999,22530.00000000,22470.552857142855,22489.70562164791,False,False
1655213459999,22439.04000000,22470.234285714287,22481.543669686827,False,False
1655213519999,22445.98000000,22470.788571428573,22469.093839275694,False,True
1655213579999,22402.91000000,22473.079999999998,22452.790956400117,False,False
1655213639999,22450.07000000,22474.301428571427,22433.069847045703,False,False
1655213699999,22442.35000000,22463.47857142857,22410.365337198014,False,False
1655213759999,22441.75000000,22450.3,22381.957673429897,False,False
1655213819999,22343.05000000,22423.592857142856,22354.451285024104,False,False
1655213879999,22326.46000000,22407.510000000002,22324.192502415408,False,False
1655213939999,22327.61000000,22390.600000000002,22293.325860869514,False,False
1655213999999,22344.59000000,22382.268571428573,22264.939410627972,False,False
1655214059999,22223.84000000,22349.95,22236.05919227048,False,False
1655214119999,22186.46000000,22313.394285714287,22210.064662801884,False,False
1655214179999,22152.37000000,22272.054285714286,22185.26404637676,False,False
1655214239999,22060.00000000,22231.618571428575,22158.588695652124,False,False
1655214299999,22034.46000000,22189.904285714285,22137.40317101444,False,False
1655214359999,22100.22000000,22157.420000000002,22118.481636714925,False,False
1655214419999,22154.50000000,22130.264285714286,22106.27043864729,False,False
1655214479999,22170.00000000,22122.57285714286,22095.465116908163,False,False
1655214539999,22132.19000000,22114.82,22092.72443091782,False,False
1655214599999,22155.65000000,22115.28857142857,22094.17986859898,False,False
1655214659999,22074.81000000,22117.404285714285,22104.0223149758,False,False
1655214719999,22040.08000000,22118.207142857143,22125.570885024103,True,False
1655214779999,22124.67000000,22121.7,22158.22884057966,False,False
1655214839999,22144.63000000,22120.29,22190.235134299466,False,False
1655214899999,22202.58000000,22124.944285714282,22221.028759420242,False,False
1655214959999,22232.97000000,22139.34142857143,22247.62488115937,False,False
1655215019999,22237.21000000,22150.992857142857,22271.894525603813,False,False
1655215079999,22246.49000000,22175.518571428573,22293.8883555555,False,False
1655215139999,22289.12000000,22211.09571428571,22315.9064734299,False,False
1655215199999,22408.98000000,22251.71142857143,22335.95563285019,False,False
1655215259999,22460.00000000,22296.764285714286,22351.115634782556,False,False
1655215319999,22467.77000000,22334.648571428574,22362.608877294635,False,False
1655215379999,22462.64000000,22367.458571428575,22368.917808695598,False,False
1655215439999,22400.01000000,22390.71571428571,22370.53020483087,False,True
1655215499999,22340.00000000,22404.074285714283,22359.13282125599,False,False
1655215559999,22293.70000000,22404.72857142857,22344.662995169027,False,False
1655215619999,22298.14000000,22388.894285714287,22324.41504347821,False,False
1655215679999,22347.86000000,22372.874285714286,22304.9708850241,False,False
1655215739999,22272.23000000,22344.940000000002,22288.403341062753,False,False
1655215799999,22204.02000000,22307.994285714285,22263.30377391299,False,False
1655215859999,22172.15000000,22275.442857142858,22234.752027053088,False,False
1655215919999,22177.80000000,22252.271428571432,22208.732175845358,False,False
1655215979999,22213.93000000,22240.875714285714,22191.005080193183,False,False
1655216039999,22169.18000000,22222.452857142856,22177.60227053135,False,False
1655216099999,22204.76000000,22202.010000000002,22165.62757294681,False,False
1655216159999,22101.76000000,22177.65714285714,22160.19306280188,False,False
1655216219999,22145.80000000,22169.34,22153.852626086904,False,False
1655216279999,22165.27000000,22168.35714285714,22146.735596135215,False,False
1655216339999,22193.33000000,22170.575714285715,22143.416065700432,False,False
1655216399999,22165.32000000,22163.631428571425,22137.263636714924,False,False
1655216459999,22070.00000000,22149.462857142855,22135.915358454055,False,False
1655216519999,22143.33000000,22140.687142857143,22135.17188212555,False,False
1655216579999,22162.32000000,22149.338571428576,22126.91632463763,False,False
1655216639999,22126.03000000,22146.514285714286,22117.538942995117,False,False
1655216699999,22096.87000000,22136.742857142857,22108.636703381595,False,False
1655216759999,22103.18000000,22123.864285714284,22105.980790338115,False,False
1655216819999,22146.54000000,22121.18142857143,22104.69820096613,False,False
1655216879999,22104.02000000,22126.04142857143,22110.30062222217,False,False
1655216939999,22118.53000000,22122.49857142857,22108.66992850236,False,False
1655216999999,22121.66000000,22116.69,22108.54334299512,False,False
1655217059999,22032.24000000,22103.291428571425,22116.185640579657,True,False
1655217119999,22097.53000000,22103.385714285712,22128.48571980671,False,False
1655217179999,22116.64000000,22105.308571428573,22140.292771014443,False,False
1655217239999,22077.51000000,22095.447142857145,22142.517426086906,False,False
1655217299999,22166.49000000,22104.37142857143,22149.957026086904,False,False
1655217359999,22190.80000000,22114.695714285714,22151.104714975794,False,False
1655217419999,22234.03000000,22130.74857142857,22153.785955555504,False,False
1655217479999,22226.68000000,22158.52571428571,22159.0339323671,False,False
1655217539999,22211.88000000,22174.86142857143,22167.442268598985,False,True
1655217599999,22173.25000000,22182.94857142857,22184.57744734294,True,False
1655217659999,22216.09000000,22202.74571428572,22199.230531400917,False,True
1655217719999,22265.66000000,22216.912857142856,22221.587864734247,True,False
1655217779999,22191.89000000,22217.068571428572,22249.837114975795,False,False
1655217839999,22166.71000000,22207.45142857143,22271.708579710095,False,False
1655217899999,22165.59000000,22198.72428571428,22293.869288888836,False,False
1655217959999,22235.42000000,22202.087142857144,22312.914129468547,False,False
1655218019999,22235.42000000,22210.96857142857,22328.119547826034,False,False
1655218079999,22422.19000000,22240.411428571428,22344.69140096613,False,False
1655218139999,22457.69000000,22267.844285714287,22363.17590917869,False,False
1655218199999,22469.21000000,22307.461428571427,22382.619147826033,False,False
1655218259999,22498.15000000,22354.809999999998,22395.387565217337,False,False
1655218319999,22470.39000000,22398.352857142858,22412.61962705309,False,False
1655218379999,22538.50000000,22441.649999999998,22431.172684057918,False,True
1655218439999,22478.93000000,22476.437142857143,22450.837002898497,False,False
1655218499999,22402.92000000,22473.684285714287,22476.985304347778,True,False
1655218559999,22392.48000000,22464.36857142857,22496.34223574874,False,False
1655218619999,22413.24000000,22456.37285714286,22510.934579710094,False,False
1655218679999,22464.69000000,22451.59285714286,22521.395974879175,False,False
