open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,Price Movement,SMA 7,EMA 7,SMA 25,sav gol,Pos Crossing,Neg Crossing
1652486400000,0.00132000,0.00133000,0.00131000,0.00132,2885993.00000000,1652486699999,3809.38237000,35,1533110.00000000,2024.86030000,0,,,,,0.0013335726495726484,False,False
1652486700000,0.00132000,0.00133000,0.00132000,0.00133,2988257.00000000,1652486999999,3960.43236000,33,2078707.00000000,2752.31191000,0,0.7518796992481223,,,,0.0013358376068376059,False,False
1652487000000,0.00134000,0.00136000,0.00133000,0.00134,15491395.00000000,1652487299999,20922.97121000,88,5251267.00000000,7108.77456000,0,0.7462686567164198,,,,0.0013380750650315862,False,False
1652487300000,0.00135000,0.00137000,0.00134000,0.00135,8436885.00000000,1652487599999,11476.60861000,67,6779991.00000000,9228.85055000,0,0.7407407407407427,,,,0.0013403003952569166,False,False
1652487600000,0.00134000,0.00136000,0.00134000,0.00135,1990196.00000000,1652487899999,2687.04188000,25,426915.00000000,576.70157000,0,0.0,,,,0.0013425289686159248,False,False
1652487900000,0.00135000,0.00136000,0.00135000,0.00136,2584079.00000000,1652488199999,3497.40887000,26,2016285.00000000,2730.88697000,0,0.7352941176470608,,,,0.0013447761562109387,False,False
1652488200000,0.00135000,0.00136000,0.00135000,0.00135,1129919.00000000,1652488499999,1526.34113000,15,225969.00000000,306.00863000,0,-0.7407407407407427,0.0013428571428571428,0.00134455810546875,,0.0013470573291442856,False,False
1652488500000,0.00134000,0.00136000,0.00134000,0.00136,3486402.00000000,1652488799999,4736.74007000,19,3356299.00000000,4561.47415000,0,0.7352941176470608,0.0013485714285714286,0.0013484185791015626,,0.0013493878585182934,False,False
1652488800000,0.00136000,0.00136000,0.00135000,0.00136,2864445.00000000,1652489099999,3894.75719000,26,594092.00000000,807.96512000,0,0.0,0.001352857142857143,0.001351313934326172,,0.0013517831154352896,False,True
1652489100000,0.00135000,0.00136000,0.00134000,0.00135,5478516.00000000,1652489399999,7396.10393000,48,135406.00000000,182.98543000,0,-0.7407407407407427,0.0013542857142857143,0.001350985450744629,,0.0013542584709976017,False,False
1652489400000,0.00134000,0.00135000,0.00134000,0.00135,128485.00000000,1652489699999,172.47731000,4,30741.00000000,41.50035000,0,0.0,0.0013542857142857146,0.0013507390880584716,,0.0013568292963075574,True,False
1652489700000,0.00134000,0.00135000,0.00134000,0.00135,2623682.00000000,1652489999999,3518.93837000,15,320449.00000000,432.60615000,0,0.0,0.0013542857142857143,0.0013505543160438538,,0.0013595109624674844,False,False
1652490000000,0.00135000,0.00135000,0.00134000,0.00135,3297845.00000000,1652490299999,4451.14296000,19,3203066.00000000,4324.13910000,0,0.0,0.001352857142857143,0.0013504157370328902,,0.001362318840579707,False,False
1652490300000,0.00135000,0.00135000,0.00133000,0.00134,8927903.00000000,1652490599999,11978.70653000,58,6328236.00000000,8500.30474000,0,-0.7462686567164198,0.0013514285714285713,0.0013478118027746677,,0.001366100483091784,False,False
1652490600000,0.00134000,0.00135000,0.00134000,0.00134,2341925.00000000,1652490899999,3141.53332000,39,2085896.00000000,2798.45446000,0,0.0,0.0013485714285714286,0.0013458588520810007,,0.0013692347826086927,False,False
1652490900000,0.00135000,0.00138000,0.00135000,0.00138,7109214.00000000,1652491199999,9705.82646000,98,5628757.00000000,7692.83290000,0,2.898550724637673,0.0013514285714285713,0.0013543941390607506,,0.0013725777777777743,False,False
1652491200000,0.00138000,0.00139000,0.00137000,0.00138,7696231.00000000,1652491499999,10613.27655000,93,1806351.00000000,2499.18347000,0,0.0,0.0013557142857142858,0.001360795604295563,,0.0013757855072463736,False,False
1652491500000,0.00138000,0.00139000,0.00137000,0.00139,2786627.00000000,1652491799999,3864.46036000,74,2606373.00000000,3616.10601000,0,0.7194244604316566,0.0013614285714285714,0.0013680967032216722,,0.00137949178743961,False,False
1652491800000,0.00139000,0.00140000,0.00139000,0.0014,3105520.00000000,1652492099999,4336.74658000,73,2916240.00000000,4073.64738000,0,0.7142857142857162,0.0013685714285714286,0.0013760725274162542,,0.0013836193236714943,False,False
1652492100000,0.00140000,0.00140000,0.00139000,0.0014,1734984.00000000,1652492399999,2426.74658000,81,1511882.00000000,2116.63480000,0,0.0,0.0013757142857142857,0.0013820543955621908,,0.0013864019323671464,False,False
1652492400000,0.00140000,0.00140000,0.00138000,0.0014,4251799.00000000,1652492699999,5912.48705000,101,1416822.00000000,1976.68443000,0,0.0,0.0013842857142857142,0.001386540796671643,,0.001390181642512074,False,False
1652492700000,0.00140000,0.00140000,0.00139000,0.0014,2544255.00000000,1652492999999,3546.63801000,87,1524506.00000000,2129.18690000,0,0.0,0.001392857142857143,0.0013899055975037323,,0.0013946589371980644,False,False
1652493000000,0.00140000,0.00141000,0.00139000,0.0014,7956238.00000000,1652493299999,11150.15432000,119,4656429.00000000,6533.34472000,0,0.0,0.001395714285714286,0.0013924291981277993,,0.001397134299516905,False,False
1652493300000,0.00140000,0.00140000,0.00139000,0.0014,1115339.00000000,1652493599999,1559.73635000,97,941514.00000000,1318.11960000,0,0.0,0.0013985714285714285,0.0013943218985958494,,0.0013997468599033784,False,False
1652493600000,0.00140000,0.00140000,0.00139000,0.0014,923378.00000000,1652493899999,1291.01895000,73,752353.00000000,1053.29420000,0,0.0,0.0014,0.0013957414239468872,0.001366,0.0014000386473429919,False,False
1652493900000,0.00140000,0.00140000,0.00138000,0.00138,3429976.00000000,1652494199999,4765.02318000,86,503242.00000000,704.22519000,0,-1.4492753623188444,0.0013971428571428572,0.0013918060679601655,0.0013683999999999999,0.0013994125603864701,False,False
1652494200000,0.00138000,0.00140000,0.00138000,0.00139,2627483.00000000,1652494499999,3651.64787000,82,1656361.00000000,2306.69532000,0,0.7194244604316566,0.001395714285714286,0.001391354550970124,0.0013708000000000001,0.0013970801932367118,False,False
1652494500000,0.00139000,0.00139000,0.00137000,0.00139,3423201.00000000,1652494799999,4724.47903000,95,1773822.00000000,2450.96104000,0,0.0,0.0013942857142857142,0.001391015913227593,0.0013728000000000002,0.001394430917874393,False,False
1652494800000,0.00139000,0.00140000,0.00139000,0.0014,4068428.00000000,1652495099999,5667.19585000,89,2641746.00000000,3684.10787000,0,0.7142857142857162,0.0013942857142857142,0.0013932619349206947,0.0013748000000000002,0.0013923980676328472,False,True
1652495100000,0.00140000,0.00140000,0.00139000,0.00139,2491730.00000000,1652495399999,3464.62529000,88,1762203.00000000,2450.58276000,0,-0.7194244604316566,0.001392857142857143,0.001392446451190521,0.0013763999999999998,0.0013897758454106247,False,False
1652495400000,0.00139000,0.00139000,0.00138000,0.00139,3414327.00000000,1652495699999,4731.78588000,76,2001462.00000000,2782.03218000,0,0.0,0.0013914285714285712,0.0013918348383928907,0.0013775999999999999,0.0013878028985507215,False,False
1652495700000,0.00138000,0.00140000,0.00138000,0.0014,2121409.00000000,1652495999999,2951.43488000,74,1524206.00000000,2126.27416000,0,0.7142857142857162,0.0013914285714285715,0.0013938761287946681,0.0013796,0.0013860483091787407,False,False
1652496000000,0.00140000,0.00140000,0.00138000,0.00139,2744713.00000000,1652496299999,3815.19729000,68,2094872.00000000,2914.68426000,0,-0.7194244604316566,0.001392857142857143,0.001392907096596001,0.0013808000000000002,0.001385078260869562,False,False
1652496300000,0.00139000,0.00139000,0.00136000,0.00137,7274563.00000000,1652496599999,9999.03104000,119,3063595.00000000,4211.68703000,0,-1.4598540145985441,0.00139,0.0013871803224470008,0.0013812,0.0013830589371980643,False,False
1652496600000,0.00137000,0.00138000,0.00136000,0.00138,4898636.00000000,1652496899999,6701.15105000,80,1957714.00000000,2683.63842000,0,0.7246376811594222,0.0013885714285714285,0.0013853852418352507,0.0013824,0.0013808173913043445,False,False
1652496900000,0.00137000,0.00138000,0.00136000,0.00136,3686066.00000000,1652497199999,5048.68634000,74,1861639.00000000,2555.70577000,0,-1.4705882352941055,0.0013828571428571427,0.001379038931376438,0.0013828000000000002,0.0013784502415458905,False,False
1652497200000,0.00137000,0.00138000,0.00136000,0.00138,7826214.00000000,1652497499999,10681.33087000,86,2851401.00000000,3907.58793000,0,1.4492753623188288,0.0013814285714285714,0.0013792791985323286,0.001384,0.00137605410628019,False,False
1652497500000,0.00138000,0.00138000,0.00137000,0.00138,1648471.00000000,1652497799999,2273.75318000,60,1534791.00000000,2118.01158000,0,0.0,0.00138,0.0013794593988992465,0.0013852,0.001373725603864731,False,False
1652497800000,0.00138000,0.00138000,0.00137000,0.00138,1231289.00000000,1652498099999,1697.83501000,52,1096908.00000000,1513.73304000,0,0.0,0.001377142857142857,0.001379594549174435,0.0013867999999999999,0.001371078260869562,False,False
1652498100000,0.00138000,0.00138000,0.00135000,0.00136,6629921.00000000,1652498399999,9043.14374000,122,2171107.00000000,2967.27090000,0,-1.4705882352941055,0.0013728571428571427,0.0013746959118808263,0.0013876,0.0013679671497584512,False,False
1652498400000,0.00137000,0.00137000,0.00136000,0.00137,2558061.00000000,1652498699999,3502.87170000,60,2390874.00000000,3275.49738000,0,0.7299270072992562,0.001372857142857143,0.0013735219339106196,0.0013871999999999999,0.0013647304347826055,False,False
1652498700000,0.00136000,0.00137000,0.00136000,0.00137,5483625.00000000,1652498999999,7470.08633000,91,1235633.00000000,1692.81721000,0,0.0,0.0013714285714285716,0.0013726414504329645,0.0013867999999999999,0.0013621951690821225,False,False
1652499000000,0.00136000,0.00137000,0.00135000,0.00136,4476282.00000000,1652499299999,6086.12727000,82,2140946.00000000,2913.80327000,0,-0.7352941176470448,0.0013714285714285716,0.0013694810878247235,0.0013855999999999999,0.0013607246376811564,False,False
1652499300000,0.00135000,0.00136000,0.00135000,0.00136,1117377.00000000,1652499599999,1514.55991000,44,610096.00000000,829.73056000,0,0.0,0.0013685714285714286,0.0013671108158685426,0.001384,0.0013587710144927507,False,False
1652499600000,0.00136000,0.00136000,0.00134000,0.00134,2320123.00000000,1652499899999,3132.53453000,50,799996.00000000,1083.72013000,0,-1.4925373134328397,0.0013628571428571429,0.001360333111901407,0.0013816,0.0013572193236714946,False,False
1652499900000,0.00135000,0.00135000,0.00134000,0.00135,391147.00000000,1652500199999,527.97191000,27,383493.00000000,517.71555000,0,0.7407407407407427,0.0013585714285714288,0.0013577498339260555,0.0013796,0.0013560019323671467,False,False
1652500200000,0.00135000,0.00135000,0.00134000,0.00135,1801338.00000000,1652500499999,2427.46290000,40,1366998.00000000,1845.44730000,0,0.0,0.0013571428571428573,0.0013558123754445419,0.0013776000000000003,0.001353368115942026,False,False
1652500500000,0.00135000,0.00135000,0.00134000,0.00135,1119926.00000000,1652500799999,1511.07475000,29,1037391.00000000,1400.47785000,0,0.0,0.0013542857142857143,0.0013543592815834066,0.0013755999999999998,0.0013494917874396105,False,False
1652500800000,0.00135000,0.00135000,0.00134000,0.00135,1189164.00000000,1652501099999,1601.03664000,36,631786.00000000,852.91110000,0,0.0,0.0013514285714285713,0.001353269461187555,0.0013736,0.001344527536231881,False,False
1652501100000,0.00135000,0.00135000,0.00134000,0.00135,700141.00000000,1652501399999,940.16230000,20,197336.00000000,266.40360000,0,0.0,0.00135,0.0013524520958906661,0.0013716,0.0013403188405797073,False,False
