T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655069159999,27491.48000000,27485.681428571428,27483.04406376805,False,True
1655069219999,27462.92000000,27482.002857142856,27480.803961352594,False,False
1655069279999,27477.50000000,27476.51142857143,27477.50445990332,True,False
1655069339999,27494.91000000,27481.98142857143,27473.94069758448,False,True
1655069399999,27479.23000000,27483.602857142858,27468.15516908206,False,False
1655069459999,27491.49000000,27485.615714285716,27462.066166183507,False,False
1655069519999,27466.16000000,27480.527142857143,27456.08420483085,False,False
1655069579999,27460.84000000,27476.15,27450.491853140033,False,False
1655069639999,27445.01000000,27473.591428571428,27449.893348792204,False,False
1655069699999,27418.98000000,27465.231428571427,27445.61371207723,False,False
1655069759999,27417.21000000,27454.131428571425,27441.39808695646,False,False
1655069819999,27415.50000000,27445.027142857143,27437.14940096612,False,False
1655069879999,27421.54000000,27435.034285714286,27436.676490821195,True,False
1655069939999,27423.20000000,27428.897142857146,27436.20883091781,False,False
1655069999999,27444.39000000,27426.54714285714,27434.513431883992,False,False
1655070059999,27426.07000000,27423.84142857143,27434.454342028926,False,False
1655070119999,27444.01000000,27427.41714285714,27436.19096038641,False,False
1655070179999,27450.84000000,27432.221428571425,27439.451843478193,False,False
1655070239999,27452.36000000,27437.487142857142,27441.886695652112,False,False
1655070299999,27471.41000000,27444.61142857143,27442.92985700477,False,True
1655070359999,27430.81000000,27445.698571428573,27443.29959420284,False,False
1655070419999,27435.06000000,27444.365714285716,27442.23971014486,False,False
1655070479999,27441.80000000,27446.612857142853,27440.463259903318,False,False
1655070539999,27457.85000000,27448.59,27442.67701256032,False,False
1655070599999,27431.60000000,27445.841428571428,27446.858921739065,True,False
1655070659999,27432.51000000,27443.005714285715,27445.709445410565,False,False
1655070719999,27429.05000000,27436.954285714284,27436.359325603804,False,True
1655070779999,27416.98000000,27434.97857142857,27420.05849275356,False,False
1655070839999,27409.51000000,27431.32857142857,27402.513008695583,False,False
1655070899999,27366.44000000,27420.562857142857,27385.88285797095,False,False
1655070959999,27388.62000000,27410.672857142858,27364.94756328496,False,False
1655071019999,27387.29000000,27404.342857142856,27344.457033816365,False,False
1655071079999,27391.11000000,27398.428571428572,27328.19980289849,False,False
1655071139999,27396.71000000,27393.808571428573,27310.54181449269,False,False
1655071199999,27369.34000000,27387.002857142856,27292.384705313943,False,False
1655071259999,27257.52000000,27365.29,27279.269565217328,False,False
1655071319999,27137.34000000,27332.56142857143,27272.489843478197,False,False
1655071379999,27128.82000000,27295.447142857145,27268.21655652168,False,False
1655071439999,27182.79000000,27266.23285714286,27265.21691207723,False,False
1655071499999,27277.36000000,27249.98285714286,27267.137621255977,True,False
1655071559999,27259.98000000,27230.45,27271.77208309172,False,False
1655071619999,27241.52000000,27212.19,27281.08204637675,False,False
1655071679999,27320.99000000,27221.257142857146,27292.24709565211,False,False
1655071739999,27343.14000000,27250.657142857144,27306.8961082125,False,False
1655071799999,27330.00000000,27279.397142857142,27319.439627053078,False,False
1655071859999,27351.49000000,27303.497142857144,27332.541478260806,False,False
